,ds,RETH,SFRXETH,WSTETH
0,2024-05-27 00:00:00,4243.38,4160.2,4487.37
1,2024-05-27 01:00:00,4234.2,4143.86,4471.41
2,2024-05-27 02:00:00,4259.85,4169.46,4492.38
3,2024-05-27 03:00:00,4323.52,4192.6,4517.55
4,2024-05-27 04:00:00,4336.01,4253.87,4568.27
5,2024-05-27 05:00:00,4336.33,4253.46,4572.24
6,2024-05-27 06:00:00,4338.24,4206.48,4571.63
7,2024-05-27 07:00:00,4325.66,4195.15,4557.55
8,2024-05-27 08:00:00,4320.66,4181.02,4549.89
9,2024-05-27 09:00:00,4333.05,4203.92,4558.5
10,2024-05-27 10:00:00,4330.95,4239.45,4579.37
11,2024-05-27 11:00:00,4333.96,4246.56,4569.28
12,2024-05-27 12:00:00,4321.86,4233.69,4570.41
13,2024-05-27 13:00:00,4322.04,4229.19,4542.19
14,2024-05-27 14:00:00,4309.47,4240.36,4543.53
15,2024-05-27 15:00:00,4344.49,4262.56,4580.12
16,2024-05-27 16:00:00,4347.39,4258.66,4591.9
17,2024-05-27 17:00:00,4375.63,4293.18,4614.72
18,2024-05-27 18:00:00,4360.77,4258.99,4609.44
19,2024-05-27 19:00:00,4359.64,4270.84,4610.91
20,2024-05-27 20:00:00,4336.06,4243.78,4573.52
21,2024-05-27 21:00:00,4322.81,4205.3,4557.12
22,2024-05-27 22:00:00,4308.59,4216.92,4543.46
23,2024-05-27 23:00:00,4308.21,4219.22,4543.83
24,2024-05-28 00:00:00,4302.7,4213.81,4538.63
25,2024-05-28 01:00:00,4303.59,4224.67,4539.74
26,2024-05-28 02:00:00,4291.5,4197.06,4527.94
27,2024-05-28 03:00:00,4277.56,4183.09,4515.26
28,2024-05-28 04:00:00,4272.62,4191.87,4504.36
29,2024-05-28 05:00:00,4266.21,4180.11,4477.82
30,2024-05-28 06:00:00,4247.71,4159.62,4485.43
31,2024-05-28 07:00:00,4252.72,4172.38,4484.61
32,2024-05-28 08:00:00,4259.83,4168.59,4484.23
33,2024-05-28 09:00:00,4258.61,4157.45,4482.71
34,2024-05-28 10:00:00,4284.27,4197.28,4512.12
35,2024-05-28 11:00:00,4331.72,4209.01,4510.4
36,2024-05-28 12:00:00,4318.44,4222.06,4559.63
37,2024-05-28 13:00:00,4313.26,4222.11,4547.82
38,2024-05-28 14:00:00,4319.78,4227.36,4553.45
39,2024-05-28 15:00:00,4273.02,4184.9,4533.49
40,2024-05-28 16:00:00,4267.34,4157.28,4492.11
41,2024-05-28 17:00:00,4273.5,4184.5,4490.55
42,2024-05-28 18:00:00,4238.23,4149.36,4468.72
43,2024-05-28 19:00:00,4238.49,4153.49,4471.65
44,2024-05-28 20:00:00,4195.61,4137.2,4430.34
45,2024-05-28 21:00:00,4249.38,4160.77,4462.7
46,2024-05-28 22:00:00,4255.22,4170.36,4463.66
47,2024-05-28 23:00:00,4242.53,4167.03,4465.23
48,2024-05-29 00:00:00,4271.08,4180.34,4504.61
49,2024-05-29 01:00:00,4264.67,4165.33,4497.95
50,2024-05-29 02:00:00,4253.76,4159.59,4488.34
51,2024-05-29 03:00:00,4257.85,4164.69,4486.76
52,2024-05-29 04:00:00,4258.94,4172.89,4491.66
53,2024-05-29 05:00:00,4254.19,4191.58,4489.7
54,2024-05-29 06:00:00,4280.08,4190.0,4509.84
55,2024-05-29 07:00:00,4285.63,4195.57,4516.94
56,2024-05-29 08:00:00,4263.24,4182.84,4495.76
57,2024-05-29 09:00:00,4197.87,4156.21,4492.29
58,2024-05-29 10:00:00,4200.53,4120.04,4419.91
59,2024-05-29 11:00:00,4209.96,4127.74,4434.98
60,2024-05-29 12:00:00,4220.58,4154.62,4449.8
61,2024-05-29 13:00:00,4224.39,4134.93,4455.33
62,2024-05-29 14:00:00,4223.06,4139.78,4456.67
63,2024-05-29 15:00:00,4215.66,4106.52,4442.68
64,2024-05-29 16:00:00,4205.32,4109.42,4437.65
65,2024-05-29 17:00:00,4165.61,4079.85,4429.23
66,2024-05-29 18:00:00,4190.81,4067.65,4378.91
67,2024-05-29 19:00:00,4169.33,4077.48,4396.84
68,2024-05-29 20:00:00,4155.55,4066.31,4384.66
69,2024-05-29 21:00:00,4153.88,4067.99,4386.72
70,2024-05-29 22:00:00,4155.67,4063.33,4387.16
71,2024-05-29 23:00:00,4185.81,4107.52,4399.04
72,2024-05-30 00:00:00,4174.28,4093.69,4388.62
73,2024-05-30 01:00:00,4174.9,4081.22,4402.48
74,2024-05-30 02:00:00,4171.23,4073.89,4399.15
75,2024-05-30 03:00:00,4183.6,4084.99,4389.27
76,2024-05-30 04:00:00,4176.74,4089.02,4403.89
77,2024-05-30 05:00:00,4186.79,4102.16,4411.76
78,2024-05-30 06:00:00,4182.6,4092.43,4401.69
79,2024-05-30 07:00:00,4165.18,4071.93,4411.93
80,2024-05-30 08:00:00,4167.64,4069.39,4394.6
81,2024-05-30 09:00:00,4127.14,4031.45,4383.26
82,2024-05-30 10:00:00,4116.04,4038.9,4334.88
83,2024-05-30 11:00:00,4126.84,4045.05,4347.73
84,2024-05-30 12:00:00,4141.3,4053.84,4365.61
85,2024-05-30 13:00:00,4137.97,4049.73,4363.29
86,2024-05-30 14:00:00,4163.44,4072.4,4368.59
87,2024-05-30 15:00:00,4192.89,4103.78,4407.88
88,2024-05-30 16:00:00,4183.59,4079.63,4399.06
89,2024-05-30 17:00:00,4184.93,4093.99,4408.68
90,2024-05-30 18:00:00,4203.95,4097.81,4409.05
91,2024-05-30 19:00:00,4214.57,4132.27,4444.25
92,2024-05-30 20:00:00,4221.13,4136.93,4444.77
93,2024-05-30 21:00:00,4167.29,4079.81,4404.14
94,2024-05-30 22:00:00,4138.04,4050.09,4371.03
95,2024-05-30 23:00:00,4150.2,4064.55,4373.07
96,2024-05-31 00:00:00,4146.42,4058.72,4374.27
97,2024-05-31 01:00:00,4148.14,4061.02,4375.9
98,2024-05-31 02:00:00,4156.42,4065.76,4381.46
