HOUR,RETH,SFRXETH,WSTETH
2023-01-10 00:00:00,1290.1436896005,1343.795486791,1448.049037276
2023-01-10 01:00:00,1289.0497969495,1343.044585426,1447.07774469
2023-01-10 02:00:00,1294.1383795010001,1331.623487597,1452.067733975
2023-01-10 03:00:00,1293.6600277564999,1329.479295565,1451.492945114
2023-01-10 04:00:00,1292.3631314640002,1327.170485853,1447.857928079
2023-01-10 05:00:00,1291.3381648935,1329.727984352,1449.477693251
2023-01-10 06:00:00,1294.6714387195,1222.915986567,1453.884941044
2023-01-10 07:00:00,1294.1242344604998,1218.893318394,1453.634386437
2023-01-10 08:00:00,1309.0657842495,1225.42214141,1451.41001852
2023-01-10 09:00:00,1319.148876298,1231.026547839,1450.099919657
2023-01-10 10:00:00,1331.5833269135,1225.346314179,1454.286605504
2023-01-10 11:00:00,1341.877909446,1290.2359889348334,1457.086351551
2023-01-10 12:00:00,1348.356921468,1350.826571351,1460.625185763
2023-01-10 13:00:00,1347.009083371,1346.440428853,1457.483387226
2023-01-10 14:00:00,1343.9086892765,1356.309038451,1452.750367276
2023-01-10 15:00:00,1350.094166254,1348.21589565,1454.358344555
2023-01-10 16:00:00,1345.7200320339998,1353.043023616,1459.764147687
2023-01-10 17:00:00,1344.167667998,1352.819497402,1460.452720998
2023-01-10 18:00:00,1341.1200180370001,1351.088533207,1457.588651805
2023-01-10 19:00:00,1342.7948780095,1352.630149734,1459.406247976
2023-01-10 20:00:00,1351.0614741965,1361.185868124,1467.355282099
2023-01-10 21:00:00,1349.733305138,1361.514927938,1467.312099298
2023-01-10 22:00:00,1349.6761175265,1363.87021314,1469.833771944
2023-01-10 23:00:00,1349.393421733,1364.426261278,1468.996598204
2023-01-11 00:00:00,1345.9392306519999,1356.823654932,1464.753615643
2023-01-11 01:00:00,1346.186349102,1356.336877359,1464.10715393
2023-01-11 02:00:00,1347.546562177,1356.718604754,1465.575751182
2023-01-11 03:00:00,1346.6789072125,1358.66813864,1467.490138296
2023-01-11 04:00:00,1343.8806394105,1355.823198107,1462.422205353
2023-01-11 05:00:00,1340.5207799805,1355.324224778,1460.133774247
2023-01-11 06:00:00,1340.901141441,1354.590506859,1458.890931847
2023-01-11 07:00:00,1341.4441228315,1355.738139742,1460.93566444
2023-01-11 08:00:00,1341.8542522905,1356.370545274,1460.247543137
2023-01-11 09:00:00,1345.1076326105,1357.548971352,1463.647952146
2023-01-11 10:00:00,1344.6112199039999,1360.120004524,1461.65127053
2023-01-11 11:00:00,1346.49665929,1357.773005863,1463.781306697
2023-01-11 12:00:00,1346.464332888,1360.665005533,1463.733867411
2023-01-11 13:00:00,1347.167701951,1359.652001861,1465.234915639
2023-01-11 14:00:00,1342.4726707774998,1359.652001861,1461.33370373
2023-01-11 15:00:00,1342.5738808864999,1359.652001861,1460.792510424
2023-01-11 16:00:00,1343.4076263954998,1359.652001861,1460.548558724
2023-01-11 17:00:00,1336.950978338,1359.652001861,1451.529694442
2023-01-11 18:00:00,1339.440404736,1359.652001861,1454.146330075
2023-01-11 19:00:00,1342.023286462,1359.652001861,1456.342972937
2023-01-11 20:00:00,1349.368754717,1359.652001861,1464.944309546
2023-01-11 21:00:00,1356.817554936,1359.652001861,1471.797431484
2023-01-11 22:00:00,1356.118732948,1359.652001861,1470.985690123
2023-01-11 23:00:00,1356.149227899,1359.652001861,1473.423200832
2023-01-12 00:00:00,1362.3061016425,1359.652001861,1482.613377142
2023-01-12 01:00:00,1395.7137844925,1356.370545274,1524.168776417
2023-01-12 02:00:00,1410.239715233,1359.652001861,1544.213330025
2023-01-12 03:00:00,1409.3218275774998,1359.652001861,1535.945198303
2023-01-12 04:00:00,1403.3474343495,1359.652001861,1535.229310079
2023-01-12 05:00:00,1406.6842310025,1359.652001861,1535.924484097
2023-01-12 06:00:00,1409.4471910755,1359.652001861,1538.245926877
2023-01-12 07:00:00,1403.179682003,1359.652001861,1529.272689796
2023-01-12 08:00:00,1403.4908988175,1359.652001861,1533.43703068
2023-01-12 09:00:00,1404.4643615625,1359.652001861,1534.595407169
2023-01-12 10:00:00,1406.073758067,1359.652001861,1531.987924948
2023-01-12 11:00:00,1409.49535086,1359.652001861,1534.899151196
2023-01-12 12:00:00,1408.23198912,1359.652001861,1534.76852223
2023-01-12 13:00:00,1408.1452553045,1359.652001861,1532.813334752
2023-01-12 14:00:00,1408.7643193045,1359.652001861,1530.435989487
2023-01-12 15:00:00,1413.2807452329998,1359.652001861,1535.992887478
2023-01-12 16:00:00,1391.159743351,1359.652001861,1507.274481366
2023-01-12 17:00:00,1398.2475602055001,1359.652001861,1520.726963472
2023-01-12 18:00:00,1398.330107626,1359.652001861,1519.166781724
2023-01-12 19:00:00,1436.6724001395,1362.4429301359667,1568.008137494
2023-01-12 20:00:00,1431.325841416,1444.471105623,1561.325424856
2023-01-12 21:00:00,1437.6794399345,1453.555202648,1566.454686551
2023-01-12 22:00:00,1439.857943896,1449.899497143,1564.56229045
2023-01-12 23:00:00,1439.022462472,1441.929078139,1565.896165526
2023-01-13 00:00:00,1433.5305664339999,1437.831774735,1558.964211201
2023-01-13 01:00:00,1428.9717926675,1428.641845111,1552.719962707
2023-01-13 02:00:00,1420.8320894125,1428.418044895,1545.251591861
2023-01-13 03:00:00,1417.3628322700001,1426.966526751,1542.324220878
2023-01-13 04:00:00,1419.4483258765,1427.320562369,1543.360538344
2023-01-13 05:00:00,1423.1124987194999,1433.282005686,1549.4628504
2023-01-13 06:00:00,1422.0453251049998,1430.405961572,1548.370400964
2023-01-13 07:00:00,1420.1422850485,1430.140028747,1545.828259282
2023-01-13 08:00:00,1420.405120095,1431.17017246,1547.228848336
2023-01-13 09:00:00,1419.154734188,1429.265887742,1545.210970628
2023-01-13 10:00:00,1419.325656897,1429.900594236,1545.578992627
2023-01-13 11:00:00,1419.752069364,1436.681914965,1546.001892613
2023-01-13 12:00:00,1424.1370910225,1430.218520869,1552.950349615
2023-01-13 13:00:00,1419.3673125735,1425.661814536,1548.706760762
2023-01-13 14:00:00,1415.0264001300002,1424.751570337,1541.703211519
2023-01-13 15:00:00,1416.5794082984999,1434.238527542,1543.984489165
2023-01-13 16:00:00,1420.7953784615001,1443.911832615,1543.891819646
2023-01-13 17:00:00,1428.0261679635,1431.821856813,1558.264167694
2023-01-13 18:00:00,1419.8187508675,1433.273082248,1549.766516306
2023-01-13 19:00:00,1423.4979626555,1441.665570583,1558.470936224
2023-01-13 20:00:00,1429.826559229,1438.78110494,1555.583963476
2023-01-13 21:00:00,1430.539657945,1439.348042075,1556.27216809
2023-01-13 22:00:00,1438.8097091825,1446.514778664,1564.691267971
2023-01-13 23:00:00,1445.6928697535,1473.052417162,1591.998867929
2023-01-14 00:00:00,1458.4610740184999,1480.339469705,1600.553747736
2023-01-14 01:00:00,1452.7403238645,1473.644319512,1592.4121393
2023-01-14 02:00:00,1536.793548504,1443.1534142408668,1694.880995719
2023-01-14 03:00:00,1549.80210007,1557.816738995,1696.868599152
2023-01-14 04:00:00,1559.4677379155,1563.168814145,1707.433850385
2023-01-14 05:00:00,1553.083603395,1564.723479156,1705.462812135
2023-01-14 06:00:00,1552.4362608425,1562.431008445,1702.0502474
2023-01-14 07:00:00,1550.4651010265002,1580.953299063,1698.905865237
2023-01-14 08:00:00,1558.843900142,1576.395326983,1705.316383555
2023-01-14 09:00:00,1562.820760046,1586.357667049,1702.310165623
2023-01-14 10:00:00,1574.979879348,1544.078190194,1715.011706739
2023-01-14 11:00:00,1532.7726722575,1543.882914542,1666.221567888
2023-01-14 12:00:00,1537.3317393045,1556.263990502,1664.20038051
2023-01-14 13:00:00,1549.0470824985,1563.166442766,1678.996873859
2023-01-14 14:00:00,1554.9532457575,1556.071209534,1687.878058359
2023-01-14 15:00:00,1549.564102303,1546.638329271,1682.543451787
2023-01-14 16:00:00,1545.270313345,1546.882026439,1671.928300518
2023-01-14 17:00:00,1548.5646179055,1553.080171925,1673.795873144
2023-01-14 18:00:00,1549.4394059259998,1552.892306129,1676.956955471
2023-01-14 19:00:00,1547.5061828965,1553.272219782,1678.826780092
2023-01-14 20:00:00,1550.3927747215,1552.417322998,1680.153096535
2023-01-14 21:00:00,1550.9738520715,1556.858759019,1678.87603818
2023-01-14 22:00:00,1545.9074562505,1554.791877946,1681.237689624
2023-01-14 23:00:00,1547.6847623110002,1558.743655267,1686.984265745
2023-01-15 00:00:00,1549.8587427329999,1570.128791062,1696.58853395
2023-01-15 01:00:00,1557.1138423440002,1573.959763799,1700.129698293
2023-01-15 02:00:00,1535.9998374010001,1552.750200982,1677.198518352
2023-01-15 03:00:00,1532.218515176,1550.609683128,1675.900855063
2023-01-15 04:00:00,1535.9291675065,1550.843098635,1676.570444056
2023-01-15 05:00:00,1532.323495906,1547.535576194,1672.592034782
2023-01-15 06:00:00,1536.6298512214998,1549.257518479,1676.477281741
2023-01-15 07:00:00,1536.3917024465,1550.802026379,1676.974007916
2023-01-15 08:00:00,1533.7760853374998,1547.579956824,1673.829526692
2023-01-15 09:00:00,1534.47973366,1548.936913498,1674.786676293
2023-01-15 10:00:00,1531.1076499609999,1545.359841888,1670.866091101
2023-01-15 11:00:00,1533.03742986,1552.242758953,1672.911545443
2023-01-15 12:00:00,1537.1095064639999,1553.254759644,1678.891766444
2023-01-15 13:00:00,1539.0351997655,1554.934440474,1681.209824098
2023-01-15 14:00:00,1537.8542452870001,1554.934440474,1680.459369429
2023-01-15 15:00:00,1542.562349658,1554.934440474,1685.860282861
2023-01-15 16:00:00,1542.1846996055,1554.934440474,1687.730935189
2023-01-15 17:00:00,1557.0079106255,1554.934440474,1702.452024934
2023-01-15 18:00:00,1555.0361686155,1574.139971718,1698.410091059
2023-01-15 19:00:00,1556.920731278,1570.056148134,1704.773892384
2023-01-15 20:00:00,1569.48109415,1571.922559235,1695.51071874
2023-01-15 21:00:00,1566.8773863954998,1575.586687739,1701.040489325
2023-01-15 22:00:00,1565.7045712734998,1573.203485558,1704.972814766
2023-01-15 23:00:00,1567.1550720760001,1576.215261754,1704.800276775
2023-01-16 00:00:00,1566.8751929455,1572.452646302,1698.560881788
2023-01-16 01:00:00,1565.220195627,1579.763839272,1702.765237111
2023-01-16 02:00:00,1568.4876752875,1587.12139301,1704.245001934
2023-01-16 03:00:00,1574.0652738899998,1595.352066109,1726.830345221
2023-01-16 04:00:00,1583.6400867,1597.394856693,1731.152326787
2023-01-16 05:00:00,1569.534116715,1583.071080594,1716.383439735
2023-01-16 06:00:00,1565.1464529625,1587.261384371,1721.712394845
2023-01-16 07:00:00,1568.8378433500002,1593.735783274,1730.867601956
2023-01-16 08:00:00,1571.1234203935,1595.233249624,1731.923336671
2023-01-16 09:00:00,1575.0654963279999,1587.209889096,1721.926599581
2023-01-16 10:00:00,1584.6846182160002,1555.585599239,1690.606538139
2023-01-16 11:00:00,1584.9381496699998,1556.090799028,1694.74684954
2023-01-16 12:00:00,1585.2192177205,1564.071963494,1698.361622909
2023-01-16 13:00:00,1581.8706243015,1561.143157897,1696.595308373
2023-01-16 14:00:00,1580.4369322835,1561.228914867,1695.070012382
2023-01-16 15:00:00,1580.3812949715,1564.397540237,1695.425915813
2023-01-16 16:00:00,1581.9340914305,1572.410013878,1695.675306465
2023-01-16 17:00:00,1585.3831327389998,1574.961745509,1705.448389848
2023-01-16 18:00:00,1585.189015723,1583.913095974,1704.27234554
2023-01-16 19:00:00,1593.7913519150002,1596.972276858,1714.631133091
