,wstETH comp,rETH comp,sfrxETH comp,date
0,0.06391866065583296,0.2013081124174381,0.7347732269267291,2024-06-29 17:00:00
1,0.06391866065583296,0.2013081124174381,0.7347732269267291,2024-06-29 18:00:00
2,0.33450574191289145,3.1365203456768134e-18,0.6654942580871086,2024-06-29 19:00:00
3,0.33427075622816427,3.137518768874466e-18,0.6657292437718356,2024-06-29 20:00:00
4,0.333333362114399,0.3333332744643726,0.3333333634212284,2024-06-29 21:00:00
5,0.3334585253909257,0.3333114332306575,0.333230041378417,2024-06-29 22:00:00
6,0.2601822079808697,3.13462474317088e-18,0.7398177920191302,2024-06-29 23:00:00
7,0.2604973985495847,3.1337055347106357e-18,0.7395026014504154,2024-06-30 00:00:00
8,5.0262805650469164e-08,0.9999999151946491,3.454254526771417e-08,2024-06-30 01:00:00
9,5.016972502415225e-08,0.9999999152757598,3.455451510304287e-08,2024-06-30 02:00:00
10,0.33333330356279794,0.3333333617314995,0.33333333470570253,2024-06-30 03:00:00
11,0.3333570135230364,0.33344531264150984,0.33319767383545384,2024-06-30 04:00:00
12,5.01911321657885e-08,0.9999999152842223,3.452464544554782e-08,2024-06-30 05:00:00
13,5.0232636887404404e-08,0.9999999152155271,3.455183590862362e-08,2024-06-30 06:00:00
14,5.02371761407732e-08,0.31958664287983884,0.6804133068829851,2024-06-30 07:00:00
15,5.0404094388599714e-08,0.3201771409475917,0.6798228086483139,2024-06-30 08:00:00
16,0.3333333299798474,0.3333333003169712,0.3333333697031814,2024-06-30 09:00:00
18,0.33329975727285305,0.33265667570436486,0.33404356702278204,2024-06-30 10:00:00
